dtiTransId,duration,batch,totalQueryWeight,CRDTHitAndMatch,MarketDataMakeKeyBreakdown,DtsQueryBreakdown,RemoteServiceQueueWC,RemoteServiceCacheWaitWC,CacheMissBreakdownInMemory,CacheHitBreakdownInMemory,CacheOverheadWallClock,CacheOverheadTimings,CacheMissBreakdownRedis,CacheHitBreakdownRedis,totalCacheHitOrWaits,totalCacheMisses,totalNumNonBatched,portfolio,portfolio2,portfolio3,portfolio4,portfolio5,riskmodel,addPositionsByHoldings,addPositionsByHoldingsWithoutAggregation,"create SinglePortfolioContext",createDatedPortfolioContext,"destroy DatedPortfolioContext","destroy SinglePortfolioContext","get Factor exposures",getAssetFactorRiskContributions,getAssetReturnsByBarraIdsWithPriority,getAssetReturnsByMarketIdsWithPriority,getFactorReturn,getFactorTree,getIndexLevelData,getLightPortfolioWithLastUpdated,getModelDescriptors,getPortfolioAttributeValues,"getPortfolioAttributes list",getPortfolioLastUpdated,"getPortfolioPositions with PositionsReportSpec",getPositionsWithTnC,getPriceHistoryByBarraIdWithPriority,getPriceHistoryByMarketIdsWithPriority,getReportDispatcherReport,searchPortfolioTree,"userAttributeRmiSvc getAttributeProperties","singlePortfolioContextRmiSvc getPortfolioInstrumentReturn"
"a3902779-60db-41c0-bfed-6ff6a28b2da4",2203,"Factor Performance Attribution",NA,"0.000078",0,0,0,"2199.686408",0,0,"0.000036","0.000036",0,0,1,0,,69313,NA,NA,NA,NA,GEMLTL,,,,,,,,,,,,,,,,,,,,,,,,,,
"bbf3bc35-3da9-461f-9de0-28fdc887fca3",518,"Factor Performance Attribution",NA,"0.000075",0,0,0,"516.913675",0,0,"0.000792","0.000792",0,"0.000000",1,0,,69313,NA,NA,NA,NA,GEMLTL,,,,,,,,,,,,,,,,,,,,,,,,,,
"df8528e0-1e83-44ce-9472-52782ee89199",2195,"Factor Performance Attribution",231710,"412.364046","4.015442","829.402129","0.326015","95.807552","15.160017","475.676733","43.350870","98.035868","0.000000","0.000000",1566180,138802,,69313,NA,NA,NA,NA,GEMLTL,2,,2,2,2,2,,,,,,,,,,,,,,,,,,,,
"d41bf577-bf55-4624-bfdd-3849500e1f0f",507,"Factor Performance Attribution",NA,"0.000014",0,0,0,"505.595706",0,0,"0.001396","0.001396",0,"0.000000",1,0,,69313,NA,NA,NA,NA,GEMLTL,,,,,,,,,,,,,,,,,,,,,,,,,,
"6926413a-b328-469d-b68a-e2b9f7f8744c",507,"Factor Performance Attribution",NA,"0.000042",0,0,0,"505.601001",0,0,"0.000042","0.000042",0,0,1,0,,69313,NA,NA,NA,NA,GEMLTL,,,,,,,,,,,,,,,,,,,,,,,,,,
"12582681-2644-435e-80c8-bc27600ed02a",2191,"Factor Performance Attribution",NA,"0.000068",0,0,0,"2189.515872",0,0,"0.000035","0.000035",0,0,1,0,,69313,NA,NA,NA,NA,GEMLTL,,,,,,,,,,,,,,,,,,,,,,,,,,
"86ae722e-8792-415f-9c73-148d952edb3c",507,"Factor Performance Attribution",NA,"0.000017",0,0,0,"505.606144",0,0,"0.000008","0.000008",0,0,1,0,,69313,NA,NA,NA,NA,GEMLTL,,,,,,,,,,,,,,,,,,,,,,,,,,
"0d648b1e-b9d6-4826-a45b-09868772b0de",2189,"Portfolio Summary",242593,"2326.271623","23.994846","205.862264","365.690834","3450.313577","4.088497","268.822573","102.974958","161.722923","0.000000","0.000000",2377300,300671,,69313,NA,NA,NA,NA,NA,85,,85,85,85,85,,,,,,,,44,,,44,34,52,,,,,,,
"88ec9dd9-15bb-45ba-8639-8c50689d87ca",2170,"Brinson Allocation Performance (Beta)",112224,"1870.956810","2.390361","80.784824","369.769987","1407.804177","0.464625","92.178899","16.737125","17.495646","0.000000","0.000000",1118056,75466,,69313,NA,NA,NA,NA,NA,29,,29,29,29,29,,,,,,,,3,,,3,1,25,,,,,,,
"66077995-bf19-4225-bd84-842e39bf6745",23485,"Return Attribution",12328,"395.761150","31.746557","126.789404","245.127652","23450.666703","1.250618","48.022721","288.013275","289.402172","0.000000","0.000000",174871,50072,,1178556,NA,NA,NA,NA,GEMLTL,1153,,1153,1153,1153,1153,,,,,,,,,,,,,95,,,,,,,
"bedcb0e1-87dd-4bd8-bea5-dbe4a4581ffb",23485,"Return Attribution",NA,"0.097963",0,0,"0.000000","23481.174598","0.001210","0.019876","0.042788","0.042788","0.000000","0.000000",621,401,,1178556,NA,NA,NA,NA,GEMLTL,2,,2,2,2,2,,,,,,,,,,,,,2,,,,,,,
"94cd1983-dfe3-44fd-a901-74b38d43e432",23483,"Return Attribution",NA,"0.048146",0,0,"0.000000","23480.537212","0.014938","0.002205","0.041385","0.041385","0.000000","0.000000",284,191,,1178556,NA,NA,NA,NA,GEMLTL,,,,,,,,,,,,,,,,,,,,,,,,,,
"38866e3b-fb58-4893-b16a-8d2fcaf5489b",2154,"Brinson Allocation Performance (Beta)",72404,"60256.002670","0.036612","51.042693","3.168750","2043.913749","2.641461","162.494954","3.708281","3.957720","0.000000","0.000000",876994,199276,,69313,NA,NA,NA,NA,NA,62,,62,62,62,62,,,,,,,,,,,,,62,,,,,,,
"de991cc1-f58c-4b27-9f1c-f8fea8a097b0",2140,"Brinson Allocation Performance (Beta)",177387,"59443.690720","0.073168","129.937761","2.540832","2037.700237","4.646367","162.846568","22.102944","39.619355","0.000000","0.000000",1669741,321867,,69313,NA,NA,NA,NA,NA,82,,82,82,82,82,,,,,,,,,,,,,82,,,,,,,
"5f75424c-2206-44b9-895a-34846a2e4a63",5186,"Factor Performance Attribution",NA,"0.000131","0.015253","12.699726","0.000000","0.000000","0.017383","0.005250","0.032799","0.032799","0.000000","0.000000",886,170,,162921711,162921713,NA,NA,NA,USSLOWL,,,2,2,2,2,,,,,,,,,,,,,,,,,,,,
"705c2667-e581-4fe4-a1fa-bae913b16062",444,"Brinson Allocation Performance (Beta)",184630,"69517.981769","0.084522","137.222920","3.048796","405.809226","6.375669","94.197259","99.970186","239.633065","0.000000","0.000000",2053780,878813,,69313,NA,NA,NA,NA,NA,109,,109,109,109,109,,,,,,,,,,,,,83,,,,,,,
"91dc516e-780f-47fd-85bc-95a8e19fea6f",2119,"Brinson Allocation Performance (Beta)",159279,"2103.396213","4.739093","113.941616","484.198820","3790.703034","4.275635","436.640285","54.537959","66.173840","0.000000","0.000000",1778703,158033,,69313,NA,NA,NA,NA,NA,72,,72,72,72,72,,,,,,,,13,,,13,8,45,,,,,,,
"03b29ef0-5d93-49f2-97c4-93a5b83eeb12",431,"Brinson Allocation Performance (Beta)",108597,"111.781773","0.045218","78.644201","0.000000","396.361947","0.572894","35.125080","0.701341","1.080618","0.000000","0.000000",1150898,17857,,69313,NA,NA,NA,NA,NA,34,,34,34,34,34,,,,,,,,,,,,,34,,,,,,,
"983bc716-bdd8-4d3f-a1bc-3975ffede4fe",426,"Factor Performance Attribution",57938,"27.539957","0.035849","200.988273","0.000000","368.133930","0.527771","41.448327","1.985342","2.286781","0.000000","0.000000",393997,16093,,69313,NA,NA,NA,NA,GEMLTL,,,,,,,,,,,,,,,,,,,,,,,,,,
"f755848f-2d7a-46c2-9185-b89049e0eb21",2110,"Factor Performance Attribution",97772,"5332.992225","0.053681","335.263882","0.000000","742.703892","3.472444","10.423531","88.030596","188.898404","0.000000","0.000000",921181,468147,,69313,NA,NA,NA,NA,GEMLTL,15,,15,15,15,15,,,,,,,,5,,,5,,,,,,,,,
"dce34cf7-3c42-4cac-a0dd-bc05a2c589f6",424,"Brinson Allocation Performance (Beta)",36199,"158.218920","0.016899","24.173577","0.000000","462.310798","0.270836","113.993908","0.341416","0.523864","0.000000","0.000000",754140,12203,,69313,NA,NA,NA,NA,NA,13,,13,13,13,13,,,,,,,,,,,,,13,,,,,,,
"6dde6e03-1c4b-4804-93e1-6d20e911ce96",422,"Brinson Allocation Performance (Beta)",123078,"41348.844717","0.058126","93.353952","2.917387","354.835627","11.028147","285.441324","5.000870","7.473388","0.000000","0.000000",1318866,207869,,69313,NA,NA,NA,NA,NA,60,,60,60,60,60,,,,,,,,,,,,,60,,,,,,,
"49dc3c43-661f-40f3-b370-5cd27156e207",420,"Brinson Allocation Performance (Beta)",162910,"75244.987064","0.060394","117.653518","109.108972","585.560720","18.465804","141.304650","114.841576","317.729870","0.000000","0.000000",2053242,909162,,69313,NA,NA,NA,NA,NA,92,,92,92,92,92,,,,,,,,,,,,,71,,,,,,,
"b9c1a366-b6ee-477b-b6a5-1fb3ccef232b",407,"Brinson Allocation Performance (Beta)",141173,"5887.826878","0.058865","108.457654","0.000000","316.211446","5.752883","446.969253","4.387299","5.356532","0.000000","0.000000",1488380,146477,,69313,NA,NA,NA,NA,NA,71,,71,71,71,71,,,,,,,,,,,,,71,,,,,,,
