dtiTransId,duration,batch,totalQueryWeight,CRDTHitAndMatch,MarketDataMakeKeyBreakdown,DtsQueryBreakdown,RemoteServiceQueueWC,RemoteServiceCacheWaitWC,CacheMissBreakdownInMemory,CacheHitBreakdownInMemory,CacheOverheadWallClock,CacheOverheadTimings,CacheMissBreakdownRedis,CacheHitBreakdownRedis,totalCacheHitOrWaits,totalCacheMisses,totalNumNonBatched,portfolio,portfolio2,portfolio3,portfolio4,portfolio5,riskmodel,addPositionsByHoldings,addPositionsByHoldingsWithoutAggregation,"create SinglePortfolioContext",createDatedPortfolioContext,"destroy DatedPortfolioContext","destroy SinglePortfolioContext","get Factor exposures",getAssetFactorRiskContributions,getAssetReturnsByBarraIdsWithPriority,getAssetReturnsByMarketIdsWithPriority,getFactorReturn,getFactorTree,getIndexLevelData,getLightPortfolioWithLastUpdated,getModelDescriptors,getPortfolioAttributeValues,"getPortfolioAttributes list",getPortfolioLastUpdated,"getPortfolioPositions with PositionsReportSpec",getPositionsWithTnC,getPriceHistoryByBarraIdWithPriority,getPriceHistoryByMarketIdsWithPriority,getReportDispatcherReport,searchPortfolioTree,"userAttributeRmiSvc getAttributeProperties","singlePortfolioContextRmiSvc getPortfolioInstrumentReturn"
"5b5109b5-1aed-432a-a990-887916432d3c",1471,NoneProvided,,,,,,,,,,,,,10608510,5171061,,,,,,,,742,,742,742,742,742,,,,,,,,,,,,176,326,238,,,,,,416
"0e737098-939a-4236-af95-f7790fa818d2",1240,"Return Attribution",,,,,,,,,,,,,633,422,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"b5f7dbee-950b-4027-9d1d-7844f847d065",458,"Index - Asset Detail",,,,,,,,,,,,,132762,236937,,,,,,,,1,,2,2,2,2,,,,,,,,,,,,,2,,,,,,,
"1b18c511-5563-47b3-bab3-5d875416ded2",953,"Return Attribution",,,,,,,,,,,,,349,178,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"cc0dda02-cd30-4a4d-8274-ce872fc26f2b",198,"Index - Asset Detail",,,,,,,,,,,,,856191,848504,,,,,,,,20,,20,20,20,20,,,,,,,,,,,,,20,20,,,,,,
"a86a2db0-8093-4459-9efa-fbe7fec34a07",234,"Fundamental Ratios",,,,,,,,,,,,,134608,151613,,,,,,,,2,,2,2,2,2,,,,,,,,,,,,,2,1,,,,,,
"02ef9121-9b3e-4bc8-ba6b-790079ac41ea",375,"Factor Risk Overview",,,,,,,,,,,,,78947,2854,,,,,,,,14,,15,15,15,15,,,,,,,,,,,,2,2,1,,,,28,,
"c5b1eaab-6d66-48be-84f8-f7e3c7e50c4f",301,"Factor Risk Overview",,,,,,,,,,,,,19531,8450,,,,,,,,1,,2,2,2,2,,,,,,,,,,,,,1,,,,,4,,
"e88d0b8f-a54c-44da-8ffd-72cbcbffd31f",301,"Factor Risk Overview",,,,,,,,,,,,,18457,11128,,,,,,,,1,,1,1,1,1,,,,,,,,,,,,1,1,,,,,,,
"a7f22d1d-b35c-44a4-a250-66e5f8b6dd4d",285,"Factor Risk Overview",,,,,,,,,,,,,10186,40,,,,,,,,1,,2,2,2,2,,,,,,,,,,,,1,1,,,,,4,,
"3fc52ae7-d176-4ec9-b0b3-25949384fc21",277,"Factor Risk Overview",,,,,,,,,,,,,10109,2821,,,,,,,,1,,2,2,2,2,,,,,,,,,,,,,1,,,,,4,,
"ae93eda3-9ab5-4eba-9104-2e111649af88",204,"Factor Risk Overview",,,,,,,,,,,,,328018,181936,,,,,,,,13,,74,74,74,74,,,,,,,,,,,,18,74,2,,,,122,,
"6df048b4-2367-443f-853b-81f0312ea83b",107,"Factor Risk Overview",,,,,,,,,,,,,178283,28583,,,,,,,,3,,28,28,28,28,,,,,,,,,,,,22,28,3,,,,50,,
"698fefd9-ac53-49ed-9791-c9a19ec67013",93,"Factor Risk Overview",,,,,,,,,,,,,161375,26672,,,,,,,,23,,23,23,23,23,,,,,,,,,,,,9,2,2,,,,42,,
"8a5075e9-ed8b-4eb8-9999-418c5d5630b6",1072,NoneProvided,,,,,,,,,,,,,7408717,3565728,,,,,,,,178,,178,178,178,178,,,,,,,,,,,,176,,,,,,,,178
"768a9447-5174-41ed-a378-4637dcfe238a",1923,NoneProvided,,,,,,,,,,,,,2047527,2288470,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"394b32e2-6760-47ac-b261-3d7f33bd8557",370,NoneProvided,,,,,,,,,,,,,6682528,3058319,,,,,,,,178,,178,178,178,178,,,,,,,,,,,,176,,,,,,,,178
"edc4c0bc-9b74-4f7d-82bf-3cb57d0c8403",761,"Factor Risk Overview",,,,,,,,,,,,,0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"959365cb-0691-4f63-af8e-4e81e63c4ff7",517,"Factor Risk Overview",,,,,,,,,,,,,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"6bfc5bcc-0575-4b7a-a342-7f1f9fcde040",498,"Factor Performance Attribution",,,,,,,,,,,,,2090501,143306,,,,,,,,13,,13,13,13,13,,,,,,,,,,,,,,,,,,,,13
"f9433a32-be55-4817-8442-e9a8cc0f6168",496,"Factor Performance Attribution",,,,,,,,,,,,,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ba467213-7f51-4605-b916-b0a989d7aa16",496,"Factor Performance Attribution",,,,,,,,,,,,,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8e205335-75ca-4318-b535-0b14143dfde8",496,"Factor Performance Attribution",,,,,,,,,,,,,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"384148b1-055e-4da8-86c7-f9b3afebe34e",496,"Factor Performance Attribution",,,,,,,,,,,,,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"dbf4407d-214d-43fd-adaa-27a163ebd5d3",496,"Factor Performance Attribution",,,,,,,,,,,,,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"677b5e03-ba73-4790-bf72-b53d5e7039ac",368,"Asset Performance Contribution",,,,,,,,,,,,,41078,35569,,,,,,,,2,,2,2,2,2,,,,,,,,,,,,2,,,,,,,,2
"24aecc47-1504-409d-93be-719ac4e3f0bf",372,"Factor Performance Attribution",,,,,,,,,,,,,64946,19349,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"b943deed-b34a-4074-b08e-2f891bba8fbe",372,"Factor Performance Attribution",,,,,,,,,,,,,749,361,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"e4d7fc9d-492b-48c5-a59f-ff3c88106dfa",314,"Portfolio Summary-IBM",,,,,,,,,,,,,47972,32213,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"fc68311a-8e72-4bbf-a432-ee6d0404570e",308,"Asset Performance Contribution",,,,,,,,,,,,,41167,7179,,,,,,,,2,,2,2,2,2,,,,,,,,,,,,,,,,,,,,2
"eecf51b9-6e8a-4927-8d3f-2a29507bb6c8",308,"Return Attribution",,,,,,,,,,,,,1016,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"e4dd79ba-a520-4943-899f-4df80122877b",308,"Return Attribution",,,,,,,,,,,,,42930,1145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"7b195b15-dbd0-4785-b1c8-c7dc42fbcf1a",302,"Asset Performance Contribution",,,,,,,,,,,,,39612,186,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"7fe96912-3f4a-4790-86d0-845a5d70461a",308,"Factor Performance Attribution",,,,,,,,,,,,,1150,487,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"64260f35-6505-4507-b839-93890ed03665",309,"Factor Performance Attribution",,,,,,,,,,,,,56298,14567,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"42aa6756-2da3-4e5a-b98c-dbed67ca8799",308,"Return Attribution",,,,,,,,,,,,,756,375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"af0148d7-cf23-44da-928a-63e497be034b",305,"Factor Performance Attribution",,,,,,,,,,,,,65319,19993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"a153385a-5a3d-4e20-a90d-53b3c4e506db",292,"Asset Performance Contribution",,,,,,,,,,,,,321263,111093,,,,,,,,6,,6,6,6,6,,,,,,,,,,,,,4,4,,,,,,2
"0f041ae4-1957-4e7c-8a4d-48a14b1e8bd6",291,"Asset Performance Contribution",,,,,,,,,,,,,42988,29468,,,,,,,,2,,2,2,2,2,,,,,,,,,,,,,,,,,,,,2
"d3edb009-c00c-42fb-833b-3a43a1a24940",292,"Return Attribution",,,,,,,,,,,,,51750,2330,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"b14fb4ba-0c6e-43ca-9819-9b6e79133a89",292,"Return Attribution",,,,,,,,,,,,,733,384,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"639d59e4-1d42-4298-b20c-10e397b3e177",292,"Factor Performance Attribution",,,,,,,,,,,,,71929,22297,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"417681ef-7169-4fbf-840d-9fb38a907300",136,"Factor Performance Attribution",,,,,,,,,,,,,604792,226797,,,,,,,,54,,54,54,54,54,,,,,,,,,,,,87,2,2,,,,,,52
"de0ea997-6274-4c5a-9875-d48d03764096",247,"Factor Performance Attribution",,,,,,,,,,,,,6576,1431,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2f890f67-e541-4ffd-b041-e368649167d9",247,"Factor Performance Attribution",,,,,,,,,,,,,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2a98bebe-0607-4eb2-9082-f745f3f3ec66",246,"Return Attribution",,,,,,,,,,,,,6702,4269,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"fb85f2ec-8441-4815-9c45-49186a077e39",212,"Factor Performance Attribution",,,,,,,,,,,,,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"775ff807-4f62-4793-9413-28cf1952bbb1",128,"Factor Performance Attribution",,,,,,,,,,,,,345182,1101,,,,,,,,1,,1,1,1,1,,,,,,,,,,,,6,,,,,,,,1
"c442f3b0-69aa-4357-8a8c-c377010e9c57",241,"Return Attribution",,,,,,,,,,,,,6481,235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"b7935af9-5e19-4dbe-bd89-44f8186b3371",126,"Factor Performance Attribution",,,,,,,,,,,,,533074,424,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"60cee8a3-ebe3-487e-ac08-fc713f5b6c02",126,"Factor Performance Attribution",,,,,,,,,,,,,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"d8f4dc33-70e0-4bce-9be3-7e26e3999a9a",126,"Factor Performance Attribution",,,,,,,,,,,,,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2f7297c8-5b0c-4c3b-92f4-f808770a1030",126,"Factor Performance Attribution",,,,,,,,,,,,,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"75b48d80-83c5-4cc4-a79c-2bde9d8fdeda",126,"Factor Performance Attribution",,,,,,,,,,,,,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"be225e13-7e2a-47e3-a209-4fbcbf03c598",235,"Portfolio Summary-IBM",,,,,,,,,,,,,182671,159350,,,,,,,,5,,5,5,5,5,,,,,,,,,,,,16,5,,,,,,,
