dtiTransId,duration,batch,totalQueryWeight,CRDTHitAndMatch,MarketDataMakeKeyBreakdown,DtsQueryBreakdown,RemoteServiceQueueWC,RemoteServiceCacheWaitWC,CacheMissBreakdownInMemory,CacheHitBreakdownInMemory,CacheOverheadWallClock,CacheOverheadTimings,totalCacheHitOrWaits,totalCacheMisses,portfolio,portfolio2,portfolio3,portfolio4,portfolio5,riskmodel,addPositionsByHoldings,create SinglePortfolioContext,createDatedPortfolioContext,destroy DatedPortfolioContext,destroy SinglePortfolioContext,getLightPortfolioWithLastUpdated,getPortfolioAttributes list,getPortfolioLastUpdated,getPortfolioPositions with PositionsReportSpec,getPositionsWithTnC,searchPortfolioTree,singlePortfolioContextRmiSvc getPortfolioInstrumentReturn
9c187ef6-5552-4fbf-9b2d-b7f646b38121,7289,FI Overview,401352,1315940.878,0,0,3092.901951,5053.300368,322.225088,6014.498693,743.115086,3023.030023,36720899,7591987,,,,,,,,,,,,,,,,,,
1a509f71-4b77-43b5-8036-425b8828e82a,7072,FI Overview,401352,411409.5728,0,0,1217.279644,5208.776351,523.209505,9637.62344,726.608217,4483.923084,40169902,9752861,1006782,1007943,1009312,1009318,1010360,NA,21,21,21,21,21,,29,80,21,21,,
7fc85473-a467-4ca4-b1f7-7a52604bbc41,8595,FI Overview,398669,812080.2081,0,0,3813.387512,5671.478277,821.022401,29721.55815,725.777534,4163.277033,69142974,8219047,1006782,1007943,1009312,1009318,1010360,NA,36,36,36,36,36,,31,120,36,,,
739fce68-7d51-4aeb-94be-e0a9793cc5e1,8759,FI Overview,398669,633664.1755,0,0,3401.141602,5791.614431,355.324572,15071.37907,721.361986,2187.886715,64011401,4565088,1006782,1007943,1009312,1009318,1010360,NA,12,12,12,12,12,,53,120,12,,,
0d8b094a-7d85-46dd-93de-243247bf12c7,13283,FI Overview,395271,1674010.874,0,0,5085.273984,13577.78407,1047.701311,25574.93971,687.090498,5906.476056,63607495,7531201,1006782,1007943,1009312,1009318,1010360,NA,48,48,48,48,48,,39,121,48,,,
6c57b7b0-e86f-4781-8352-dd0fdf4f375b,2416,Brinson Performance Attribution (Beta),407090,157905.7053,0.243046,307.411283,147.299831,2385.485729,31.004851,727.423893,674.32438,1522.834109,13831282,3382990,162921713,NA,NA,NA,NA,NA,253,253,253,253,253,,,63,79,,,
d6aba9af-a026-487c-b2b8-90d1daae344a,2058,HP Universe VaR,42875,37189.27986,0.045507,0,3.363493,51.300215,175.666478,1478.052012,542.766513,799.511167,3377468,633629,1011920,1012310,1022856,23299,26444,NA,,,,,,,6,15,,,,
e1b5043f-6334-4329-950f-990af234c76c,5438,FI Overview,401352,1095628.947,0,0,955.137692,4928.542004,660.790939,6719.756378,533.629474,5453.05172,32654944,7467904,1006782,1007943,1009312,1009318,1010360,NA,,,,,,,,,,,,
989de633-1b75-4e15-aa5e-55879cb78b3d,995,FaCS Sectors,101350,180848.3565,0,0,47.618465,9.506134,21.468375,25.835393,487.555278,488.092068,2459305,1800203,1014408,NA,NA,NA,NA,NA,346,346,346,346,346,,110,110,346,76,,
d517c224-26b2-455c-929e-81948b4060ea,1152,Factor Risk and Return,1536,44573.80245,32.892111,16.925224,536.176276,1816.130143,15.835925,71.106145,435.42316,1206.623472,4308634,2180444,148605541,148605543,NA,NA,NA,GEMLTL,,,,,,,,,,,,
